name,publisher,number_of_page,current_price,original_price,quantity,score,subject,grade,link
2019 TYT Tıpkı Basım Çıkmış Deneme Sınavı A Yayınları,A Yayınları,40,15.0,18.0,16,5.0,genel,tyt,https://www.kitapsec.com/Products/2019-TYT-Tipki-Basim-Cikmis-Deneme-Sinavi-A-Yayinlari-694243.html
2019-AYT Matematik Full Çeken Soru Bankası Sınav Dergisi Yayınları,Sınav Yayınları,184,39.0,65.0,4,4.0,matematik,ayt,https://www.kitapsec.com/Products/2019-AYT-Matematik-Full-Ceken-Soru-Bankasi-Sinav-Dergisi-Yayinlari-731697.html
2020 11. Sınıf YKSDİL Gramer Kitabı (Efa Serisi) Benim Hocam Yayınları,Benim Hocam Yayınları,336,33.25,47.5,60,4.0,genel,11.,https://www.kitapsec.com/Products/2020-11-Sinif-YKSDIL-Gramer-Kitabi-Efa-Serisi-Benim-Hocam-Yayinlari-324309.html
2020 Model AYT 10 lu Matematik Deneme Üç Dört Beş Yayınları,Üç Dört Beş Yayınları,160,59.95,79.0,51,4.0,matematik,ayt,https://www.kitapsec.com/Products/2020-Model-AYT-10-lu-Matematik-Deneme-Uc-Dort-Bes-Yayinlari-778488.html
2020 MSÜ Tıpkı Basım Çap Yayınları,Çap Yayınları,35,24.65,29.0,1137,4.8,genel,lise,https://www.kitapsec.com/Products/2020-MSU-Tipki-Basim-Cap-Yayinlari-543560.html
2020 TYT 3 Adımda Matematik Türkçe 5 li Deneme 2.Adım Benim Hocam Yayınları,Benim Hocam Yayınları,256,59.0,59.0,-1,0.0,matematik,tyt,https://www.kitapsec.com/Products/2020-TYT-3-Adimda-Matematik-Turkce-5-li-Deneme-2Adim-Benim-Hocam-Yayinlari-830318.html
2020 TYT Matematiğin Abc si Matematik 2. Kitap Süper Kitap,Süper Kitap,328,49.0,58.0,2,5.0,matematik,tyt,https://www.kitapsec.com/Products/2020-TYT-Matematigin-Abc-si-Matematik-2-Kitap-Super-Kitap-602723.html
2020 TYT Tıpkı Basım Çap Yayınları,Çap Yayınları,35,24.65,29.0,730,3.7,genel,tyt,https://www.kitapsec.com/Products/2020-TYT-Tipki-Basim-Cap-Yayinlari-543561.html
2020 YDT YKSDİL Tamamı Çözümlü 8 Deneme Benim Hocam Yayınları,Benim Hocam Yayınları,-1,55.3,79.0,694,4.2,ingilizce,ydt,https://www.kitapsec.com/Products/2020-YDT-YKSDIL-Tamami-Cozumlu-8-Deneme-Benim-Hocam-Yayinlari-366343.html
2020 YKSDİL 30x30 Tamamı Çözümlü Mini Denemeler Benim Hocam Yayınları,Benim Hocam Yayınları,676,66.35,99.0,21,4.0,genel,lise,https://www.kitapsec.com/Products/2020-YKSDIL-30x30-Tamami-Cozumlu-Mini-Denemeler-Benim-Hocam-Yayinlari-407735.html
2020 YKSDİL 30x30 Tamamı Çözümlü Mini Denemeler Benim Hocam Yayınları,Benim Hocam Yayınları,676,143.0,143.0,-1,0.0,genel,lise,https://www.kitapsec.com/Products/2020-YKSDIL-30x30-Tamami-Cozumlu-Mini-Denemeler-Benim-Hocam-Yayinlari-818863.html
2021 AYT 10 Farklı Yayın 10 Farklı Deneme Altın Karma Yayınları,Altın Karma,-1,56.0,70.0,-1,0.0,genel,ayt,https://www.kitapsec.com/Products/2021-AYT-10-Farkli-Yayin-10-Farkli-Deneme-Altin-Karma-Yayinlari-607424.html
2021 AYT 5 li Fasikül Deneme Lider Plus Yayınları,LiderPlus Yayınları,-1,55.0,70.0,-1,0.0,genel,ayt,https://www.kitapsec.com/Products/2021-AYT-5-li-Fasikul-Deneme-Lider-Plus-Yayinlari-820356.html
2021 AYT Biyoloji 25 li Denemeleri Süpervizör Yayınları,Süpervizör Yayınları,-1,55.25,65.0,1,4.0,biyoloji,ayt,https://www.kitapsec.com/Products/2021-AYT-Biyoloji-25-li-Denemeleri-Supervizor-Yayinlari-679969.html
2021 AYT Biyoloji 25 li Denemeleri Süpervizör Yayınları,Süpervizör Yayınları,-1,72.0,80.0,-1,0.0,biyoloji,ayt,https://www.kitapsec.com/Products/2021-AYT-Biyoloji-25-li-Denemeleri-Supervizor-Yayinlari-777327.html
2021 AYT Biyoloji 25 li Denemeleri Süpervizör Yayınları,Süpervizör Yayınları,-1,85.0,100.0,1,4.0,biyoloji,ayt,https://www.kitapsec.com/Products/2021-AYT-Biyoloji-25-li-Denemeleri-Supervizor-Yayinlari-775402.html
2021 AYT Biyoloji Soru Bankası Benim Hocam Yayınları,Benim Hocam Yayınları,256,99.99,129.0,-1,0.0,biyoloji,ayt,https://www.kitapsec.com/Products/2021-AYT-Biyoloji-Soru-Bankasi-Benim-Hocam-Yayinlari-826124.html
2021 AYT Coğrafya Tamamı Video Çözümlü 21 Deneme Sınavı Benim Hocam Yayınları,Benim Hocam Yayınları,126,59.0,70.0,-1,0.0,coğrafya,ayt,https://www.kitapsec.com/Products/2021-AYT-Cografya-Tamami-Video-Cozumlu-21-Deneme-Sinavi-Benim-Hocam-Yayinlari-830704.html
2021 AYT Coğrafya Video Ders Defteri Benim Hocam Yayınları,Benim Hocam Yayınları,256,75.0,99.0,2,4.0,coğrafya,ayt,https://www.kitapsec.com/Products/2021-AYT-Cografya-Video-Ders-Defteri-Benim-Hocam-Yayinlari-763878.html
2021 AYT Edebiyat 25 li Deneme Süpervizör Yayınları,Süpervizör Yayınları,-1,55.25,65.0,-1,0.0,edebiyat,ayt,https://www.kitapsec.com/Products/2021-AYT-Edebiyat-25-li-Deneme-Supervizor-Yayinlari-679965.html
2021 AYT Edebiyat 25 li Deneme Süpervizör Yayınları,Süpervizör Yayınları,-1,72.0,80.0,1,4.0,edebiyat,ayt,https://www.kitapsec.com/Products/2021-AYT-Edebiyat-25-li-Deneme-Supervizor-Yayinlari-598651.html
2021 AYT Edebiyat 25 li Deneme Süpervizör Yayınları,Süpervizör Yayınları,-1,72.0,80.0,-1,0.0,edebiyat,ayt,https://www.kitapsec.com/Products/2021-AYT-Edebiyat-25-li-Deneme-Supervizor-Yayinlari-777325.html
2021 AYT Eşit Ağırlık 5 Deneme ÖSYM Tarzı Kitapçıklarla Detaylı Video Çözümlü 3D Yayınları,3D Yayınları,-1,95.4,106.0,-1,0.0,genel,ayt,https://www.kitapsec.com/Products/2021-AYT-Esit-Agirlik-5-Deneme-OSYM-Tarzi-Kitapciklarla-Detayli-Video-Cozumlu-3D-Yayinlari-682330.html
2021 AYT Eşit Ağırlık 5 Deneme ÖSYM Tarzı Kitapçıklarla Detaylı Video Çözümlü 3D Yayınları,3D Yayınları,-1,94.89,130.0,2,4.0,genel,ayt,https://www.kitapsec.com/Products/2021-AYT-Esit-Agirlik-5-Deneme-OSYM-Tarzi-Kitapciklarla-Detayli-Video-Cozumlu-3D-Yayinlari-686205.html
2021 AYT Fizik Soru Bankası Benim Hocam Yayınları,Benim Hocam Yayınları,288,99.99,129.0,-1,0.0,fizik,ayt,https://www.kitapsec.com/Products/2021-AYT-Fizik-Soru-Bankasi-Benim-Hocam-Yayinlari-826122.html
2021 AYT Kimya 25 li Denemeleri Süpervizör Yayınları,Süpervizör Yayınları,-1,45.0,65.0,1,4.0,kimya,ayt,https://www.kitapsec.com/Products/2021-AYT-Kimya-25-li-Denemeleri-Supervizor-Yayinlari-598650.html
2021 AYT Kimya Soru Bankası Benim Hocam Yayınları,Benim Hocam Yayınları,256,89.9,109.0,-1,0.0,kimya,ayt,https://www.kitapsec.com/Products/2021-AYT-Kimya-Soru-Bankasi-Benim-Hocam-Yayinlari-773652.html
2021 AYT Kimya Soru Bankası Benim Hocam Yayınları,Benim Hocam Yayınları,256,50.0,109.0,-1,0.0,kimya,ayt,https://www.kitapsec.com/Products/2021-AYT-Kimya-Soru-Bankasi-Benim-Hocam-Yayinlari-833320.html
2021 AYT Kimya Soru Bankası Benim Hocam Yayınları,Benim Hocam Yayınları,256,89.0,109.0,-1,0.0,kimya,ayt,https://www.kitapsec.com/Products/2021-AYT-Kimya-Soru-Bankasi-Benim-Hocam-Yayinlari-826116.html
2021 AYT Matematik 10 lu Simülasyon Denemeleri Tamamı Video Çözümlü 3D Yayınları,3D Yayınları,160,108.8,112.0,2,4.0,matematik,ayt,https://www.kitapsec.com/Products/2021-AYT-Matematik-10-lu-Simulasyon-Denemeleri-Tamami-Video-Cozumlu-3D-Yayinlari-682411.html
2021 AYT Matematik 15 Li Deneme Süpervizör Yayınları,Süpervizör Yayınları,-1,79.99,100.0,-1,0.0,matematik,ayt,https://www.kitapsec.com/Products/2021-AYT-Matematik-15-Li-Deneme-Supervizor-Yayinlari-775234.html
2021 AYT Matematik 15 Li Deneme Süpervizör Yayınları,Süpervizör Yayınları,-1,63.75,75.0,-1,0.0,matematik,ayt,https://www.kitapsec.com/Products/2021-AYT-Matematik-15-Li-Deneme-Supervizor-Yayinlari-679957.html
2021 AYT Matematik 15 Li Deneme Süpervizör Yayınları,Süpervizör Yayınları,-1,63.75,75.0,6,4.0,matematik,ayt,https://www.kitapsec.com/Products/2021-AYT-Matematik-15-Li-Deneme-Supervizor-Yayinlari-598652.html
2021 AYT Matematik Denemeleri Limit Yayınları,Limit Yayınları,160,69.99,100.0,-1,0.0,matematik,ayt,https://www.kitapsec.com/Products/2021-AYT-Matematik-Denemeleri-Limit-Yayinlari-775409.html
2021 AYT Sayısal 5 Deneme ÖSYM Tarzı Kitapçıklarla Detaylı Video Çözümlü 3D Yayınları,3D Yayınları,-1,89.9,140.0,1,4.0,sayısal,ayt,https://www.kitapsec.com/Products/2021-AYT-Sayisal-5-Deneme-OSYM-Tarzi-Kitapciklarla-Detayli-Video-Cozumlu-3D-Yayinlari-774488.html
2021 AYT Tarih Soru Bankası Benim Hocam Yayınları,Benim Hocam Yayınları,192,50.0,119.0,1,4.0,tarih,ayt,https://www.kitapsec.com/Products/2021-AYT-Tarih-Soru-Bankasi-Benim-Hocam-Yayinlari-833326.html
